burn,skin,r,g,b
0,0,169,135,89
0,1,170,138,91
0,1,174,138,90
0,1,177,141,93
0,1,178,140,91
0,1,178,140,91
0,1,178,138,89
0,1,175,133,83
0,1,171,130,78
0,1,166,122,73
0,1,163,120,67
0,1,163,120,69
0,1,169,125,76
0,1,171,129,79
0,1,171,127,80
0,1,162,119,74
0,1,162,119,74
0,1,161,120,76
0,1,154,113,69
0,1,150,113,69
0,1,160,123,81
0,1,182,147,105
0,1,191,158,117
0,1,197,165,124
0,1,197,168,124
0,1,198,169,125
0,1,202,171,127
0,1,204,173,129
0,1,205,174,130
0,0,206,175,131
0,1,205,174,130
0,0,204,173,129
0,0,202,169,126
0,0,198,165,122
0,0,196,163,120
0,0,194,161,118
0,0,192,159,116
0,0,192,159,116
0,0,192,159,116
0,0,194,159,117
0,0,196,161,119
0,0,196,161,119
0,0,197,162,120
0,0,198,163,121
0,0,199,164,122
0,0,199,164,122
0,0,201,166,124
0,0,197,164,123
0,0,195,163,122
0,0,191,162,120
0,0,191,162,120
0,0,190,163,120
0,0,189,157,116
0,0,185,152,111
0,0,180,147,106
0,0,183,150,109
0,0,182,149,108
0,0,177,142,102
0,0,163,128,88
0,0,145,112,71
0,0,137,104,63
0,0,165,133,92
0,0,184,152,111
0,0,196,167,125
0,0,204,175,133
0,0,208,184,140
0,0,212,187,146
0,0,207,182,141
0,0,201,180,137
0,0,200,179,136
0,0,205,184,139
0,0,205,183,136
0,0,204,182,135
0,0,204,182,133
0,0,203,181,132
0,0,203,180,130
0,0,202,179,129
0,0,201,178,128
0,0,200,177,127
0,0,202,176,127
0,0,199,176,124
0,1,198,175,123
0,0,201,176,122
0,1,196,170,119
0,1,194,168,119
0,0,193,167,116
0,0,192,165,112
0,0,191,164,111
0,0,187,160,107
0,0,185,158,105
0,0,181,154,101
0,0,178,151,98
0,0,176,149,94
0,0,175,148,93
0,0,174,145,89
0,0,165,134,79
0,0,163,130,76
0,0,168,133,77
0,0,159,122,69
0,0,156,115,63
0,0,154,111,60
0,0,150,104,55
0,0,137,89,41
0,0,122,71,26
0,0,129,78,33
0,0,147,100,56
0,0,171,128,85
0,0,184,147,102
0,0,192,159,114
0,0,197,170,123
0,0,200,176,130
0,0,200,177,133
0,0,198,177,132
0,0,197,176,133
0,0,198,175,134
0,0,199,174,134
0,0,198,173,133
0,0,198,170,131
0,0,194,166,127
0,0,191,162,122
0,0,188,160,120
0,0,187,159,119
0,0,186,157,115
0,0,186,155,111
0,0,184,153,107
0,0,181,150,103
0,0,180,148,99
0,0,179,146,95
0,0,177,144,91
0,0,178,143,89
0,0,177,142,88
0,0,174,139,83
0,0,170,135,79
0,0,164,129,73
0,0,155,123,66
0,0,150,118,61
0,1,145,114,57
0,0,141,110,55
0,0,134,105,49
0,1,129,100,44
0,1,121,94,39
0,0,115,89,38
0,1,104,82,35
0,0,84,71,27
0,0,61,48,13
0,0,40,28,2
0,0,24,10,1
0,0,19,4,0
0,0,21,1,2
0,0,22,0,3
0,0,19,0,2
0,0,21,3,3
0,0,31,6,9
0,0,52,27,23
0,0,70,46,34
0,0,83,63,39
0,0,90,70,43
0,0,87,72,39
0,0,86,68,32
0,0,107,93,58
0,1,144,131,99
0,0,194,184,157
0,0,211,203,182
0,1,213,205,192
0,1,204,196,193
0,0,204,200,199
0,1,202,202,204
0,0,197,202,206
0,0,193,200,206
0,0,192,201,208
0,1,193,202,211
0,0,194,203,212
0,1,196,205,214
0,0,197,207,217
0,1,196,209,218
0,0,199,209,219
0,0,199,209,221
0,0,198,207,222
0,0,198,208,220
0,0,199,209,221
0,0,199,209,221
0,0,199,209,221
0,0,199,207,220
0,0,199,207,218
0,0,199,207,218
0,0,199,206,216
0,0,199,205,217
0,0,199,205,217
0,0,199,205,217
0,0,197,205,216
0,0,194,202,215
0,0,192,200,213
0,0,194,202,215
0,0,195,203,216
0,0,196,204,217
0,0,199,207,220
0,0,200,208,221
0,0,200,208,221
0,0,199,207,220
0,0,198,206,219
0,0,197,205,218
0,0,196,204,217
0,0,194,202,215
0,0,193,201,214
0,0,193,201,214
0,0,195,203,216
0,0,193,201,214
0,0,192,200,213
0,0,189,197,210
0,0,185,193,206
0,0,180,188,201
0,0,176,184,197
0,0,173,181,194
0,0,169,177,190
0,0,170,178,191
0,0,173,181,194
0,0,178,186,199
0,0,184,192,205
0,0,188,196,209
0,0,191,199,212
0,0,190,198,211
0,0,188,196,209
0,0,185,193,206
0,0,183,191,204
0,0,182,190,203
0,0,182,190,203
0,0,182,190,203
0,0,183,191,204
0,0,182,190,203
0,0,180,188,201
0,0,179,187,200
0,0,177,185,198
0,0,174,182,195
0,0,172,180,193
0,0,171,179,192
0,0,169,177,190
0,0,168,176,189
0,0,167,175,188
0,0,167,177,189
0,0,169,179,191
0,0,169,179,191
0,0,171,181,193
0,0,170,180,192
0,0,172,182,194
0,0,171,181,193
0,0,169,179,191
0,0,166,176,188
0,0,163,173,185
0,0,161,171,183
0,0,159,169,181
0,0,173,139,93
0,1,173,139,93
0,1,173,139,91
0,1,175,139,91
0,1,175,137,88
0,1,177,135,87
0,1,175,135,86
0,1,175,133,83
0,1,174,130,81
0,1,173,129,80
0,1,172,129,78
0,1,172,129,78
0,1,172,128,79
0,1,173,129,80
0,1,171,127,80
0,1,164,120,75
0,1,163,120,75
0,1,161,120,76
0,1,156,115,71
0,1,152,113,70
0,1,159,122,80
0,1,178,143,101
0,1,190,157,116
0,1,198,166,125
0,1,198,169,125
0,1,198,171,126
0,1,203,172,128
0,1,204,173,129
0,1,204,173,129
0,1,204,173,129
0,1,204,173,129
0,1,202,171,127
0,1,201,168,125
0,1,199,166,123
0,1,197,164,121
0,1,195,162,119
0,1,193,160,117
0,1,193,160,117
0,1,194,161,118
0,1,194,161,118
0,1,195,162,119
0,1,197,162,120
0,1,198,163,121
0,1,199,164,122
0,1,199,164,122
0,1,201,166,124
0,1,201,166,124
0,1,198,165,122
0,1,195,164,120
0,1,193,162,118
0,1,190,161,117
0,1,191,162,118
0,1,189,158,114
0,1,185,153,112
0,1,182,149,108
0,1,183,150,109
0,1,182,149,108
0,1,178,143,103
0,1,166,131,91
0,1,150,117,76
0,1,141,107,69
0,1,155,123,82
0,1,177,145,104
0,1,195,166,124
0,1,204,175,133
0,1,208,181,138
0,1,209,184,143
0,1,209,186,144
0,1,206,183,141
0,1,202,181,138
0,1,209,186,142
0,1,205,183,136
0,1,204,182,135
0,1,203,181,132
0,1,202,180,131
0,1,203,180,130
0,1,202,179,129
0,1,201,178,128
0,1,200,177,127
0,1,201,175,126
0,1,200,174,125
0,1,200,174,125
0,1,201,173,123
0,0,196,170,119
0,0,194,168,117
0,0,194,168,117
0,1,191,164,111
0,0,189,162,109
0,0,186,159,106
0,0,183,156,103
0,0,179,154,100
0,0,178,151,98
0,0,178,148,94
0,0,176,146,92
0,0,175,146,90
0,0,166,135,80
0,0,162,129,75
0,0,165,133,76
0,0,160,123,70
0,0,157,117,65
0,0,156,113,62
0,0,151,105,56
0,0,139,91,43
0,0,124,73,28
0,0,127,79,33
0,0,145,98,54
0,0,169,126,83
0,0,185,148,103
0,0,195,162,117
0,0,199,170,126
0,0,202,178,132
0,0,203,180,136
0,0,201,178,136
0,0,201,176,136
0,0,201,178,136
0,0,202,177,137
0,0,201,176,136
0,0,201,173,134
0,0,198,170,130
0,0,198,170,130
0,0,197,169,129
0,0,196,169,126
0,0,195,166,124
0,0,193,164,120
0,0,192,161,115
0,0,190,159,112
0,0,189,155,107
0,0,187,154,103
0,0,184,151,98
0,0,185,150,96
0,0,181,146,92
0,0,175,140,84
0,0,169,134,78
0,0,164,129,73
0,0,156,124,67
0,0,151,119,62
0,0,145,114,57
0,0,141,110,55
0,0,136,105,50
0,0,129,100,44
0,1,121,94,39
0,1,115,90,36
0,0,103,83,33
0,0,83,68,25
0,0,61,47,12
0,0,40,25,4
0,0,22,4,0
0,0,21,1,2
0,0,27,6,5
0,0,34,9,13
0,0,27,5,8
0,0,22,2,3
0,0,20,0,1
0,0,31,6,2
0,0,53,26,17
0,0,83,61,40
0,0,83,62,33
0,0,89,70,37
0,0,101,83,45
0,0,98,82,46
0,0,95,79,46
0,1,91,80,50
0,1,130,118,96
0,0,171,159,145
0,1,208,198,189
0,1,206,198,196
0,0,199,195,196
0,1,190,191,195
0,0,189,194,197
0,1,192,199,205
0,0,197,204,212
0,0,195,204,211
0,1,192,201,210
0,0,189,198,207
0,0,195,205,215
0,1,203,213,223
0,0,211,221,231
0,0,211,221,231
0,0,205,215,227
0,0,199,209,221
0,0,199,209,221
0,0,199,208,223
0,0,200,208,221
0,0,199,207,220
0,0,199,207,220
0,0,200,206,218
0,0,199,205,217
0,0,199,206,216
0,0,199,205,217
0,0,199,205,217
0,0,194,202,215
0,0,190,200,212
0,0,192,200,213
0,0,194,202,215
0,0,196,204,217
0,0,197,205,218
0,0,198,206,219
0,0,198,206,219
0,0,197,205,218
0,0,195,203,216
0,0,194,202,215
0,0,193,201,214
0,0,193,201,214
0,0,193,201,214
0,0,193,201,214
0,0,193,201,214
0,0,192,200,213
